Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,"Week 20, 2026","Week 21, 2026","Week 22, 2026","Week 23, 2026"
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Sales,Delivered orders,5,5,10,9
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Sales,Sales (Rs),1177.5,1438.2999877929688,3508.9500122070312,3511
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Sales,Market share (%),0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Average rating,0,3.4285714285714284,4,4
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Rated orders,3,3,1,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Bad orders,2,0,1,4
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Rejected orders,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,KPT+10 delayed orders,2,0,1,4
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Poor rated orders,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Total complaints,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Non-refunded complaints,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Total complaints - Poor packaging,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Total complaints - Poor quality,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Total complaints - Wrong order,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Total complaints - Missing items,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Self logs other ors,0,0,0,1
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Lost sales (Rs),0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Online %,50.4,100,100,100
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,Offline time (in hours),38,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,KPT (in minutes),25.056,14.902,16.8756,28.0511
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer experience,FOR accuracy (%),100,100,80,100
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer funnel,Impressions,669,1608,2219,1964
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer funnel,Impressions to menu (%),12.4,7.2,7.4,7.2
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer funnel,Menu opens,83,116,164,141
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer funnel,Menu to cart (%),18.1,24.1,29.9,27.7
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer funnel,Cart builds,15,28,49,39
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer funnel,Cart to orders (%),33.3,17.9,20.4,23.1
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer funnel,Placed Orders,5,5,10,9
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer segmentation,New user orders,5,5,9,9
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer segmentation,Repeat user orders,0,0,1,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer segmentation,Lapsed user orders,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer segmentation,Breakfast orders,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer segmentation,Lunch orders,2,1,1,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer segmentation,Snacks orders,0,0,1,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer segmentation,Dinner orders,3,1,7,4
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Customer segmentation,Late night orders,0,3,1,5
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Ads,Sales from ads (Rs),0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Ads,Ads CTR (%),0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Ads,Ads impressions,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Ads,Ads menu opens,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Ads,Ads orders,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Ads,Ads spend (Rs),0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Ads,Ads ROI,0,0,0,0
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Offers,Orders with offers,820.5,1281.3,3138.95,2516
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Offers,Gross sales from offers (Rs),4,4,9,6
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Offers,Discount given (Rs),196.5,212.70000076293945,666.0500030517578,502.4099998474121
