Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,Mar 2026,Apr 2026,May 2026
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Rated orders,0,0,14
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Bad orders,0,0,6
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Rejected orders,0,0,3
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,KPT+10 delayed orders,0,0,0
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Poor rated orders,0,0,3
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Total complaints,0,0,1
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Non-refunded complaints,0,0,1
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Total complaints - Poor packaging,0,0,0
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Total complaints - Poor quality,0,0,1
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Total complaints - Wrong order,0,0,0
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Total complaints - Missing items,0,0,0
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Self logs other ors,0,0,3
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Lost sales (Rs),0,0,935
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Online %,0,87.27,91.08
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,Offline time (in hours),0,12,29
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,KPT (in minutes),0,0,19.2733
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer experience,FOR accuracy (%),0,0,80
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer funnel,Impressions,0,1006,7464
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer funnel,Impressions to menu (%),0,7.2,8.6
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer funnel,Menu opens,0,72,643
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer funnel,Menu to cart (%),0,11.1,22.6
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer funnel,Cart builds,0,8,145
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer funnel,Cart to orders (%),0,0,34.5
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer funnel,Placed Orders,0,0,50
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer segmentation,New user orders,0,0,36
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer segmentation,Repeat user orders,0,0,14
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer segmentation,Lapsed user orders,0,0,0
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer segmentation,Breakfast orders,0,0,0
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer segmentation,Lunch orders,0,0,21
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer segmentation,Snacks orders,0,0,6
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer segmentation,Dinner orders,0,0,23
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Customer segmentation,Late night orders,0,0,0
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Ads,Sales from ads (Rs),0,0,6337
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Ads,Ads CTR (%),0,8.1,9.8
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Ads,Ads impressions,0,210,3717
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Ads,Ads menu opens,0,17,365
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Ads,Ads orders,0,0,33
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Ads,Ads spend (Rs),0,0,136.76271867752075
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Ads,Ads ROI,0,0,65.36869174910194
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Offers,Orders with offers,0,0,7143.34
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Offers,Gross sales from offers (Rs),0,0,39
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Offers,Discount given (Rs),0,0,3354.9990005493164
22676539,Kanchi Thakali Family restaurant,Mira Road,Mumbai,Offers,Effective discount (%),0,0,46.96681207859293
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Sales,Delivered orders,1665,1414,1778
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Sales,Sales (Rs),544466.1213989258,468071.25634765625,555091.19921875
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Sales,Market share (%),0,0,0
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Average rating,3.993161270695348,3.990576696395874,4.045896768569946
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Rated orders,185,177,208
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Bad orders,124,139,147
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Rejected orders,8,10,9
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,KPT+10 delayed orders,62,76,61
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Poor rated orders,42,39,53
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Total complaints,18,31,34
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Non-refunded complaints,11,12,27
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Total complaints - Poor packaging,2,2,5
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Total complaints - Poor quality,3,10,11
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Total complaints - Wrong order,10,8,13
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Total complaints - Missing items,5,13,12
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Self logs other ors,39,39,27
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Lost sales (Rs),2021.3201,3126.32,3468.74
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Online %,93.43,83.59,97.7
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,Offline time (in hours),20,51,7
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,KPT (in minutes),6.6531,8.3631,5.9731
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer experience,FOR accuracy (%),75.6,72.5,74
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer funnel,Impressions,127962,115828,146416
